"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_3to1_K30_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n100_normal",1,"target_only","correct",1.97216925447107,0.215793168930451,1.54382319961041,2.40051530933173,TRUE,""
"main_3to1_K30_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K30_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K30_n100_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K30_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n100_normal",1,"meta_regression","misspecified",2.52720663052615,0.333886649565901,1.87280082245824,3.18161243859406,TRUE,""
"main_4to0_K30_n100_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K30_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n100_normal",1,"meta_regression","correct",2.00791596935977,0.434598290167555,1.15611897288867,2.85971296583086,TRUE,""
"main_1to1_K05_n020_chi2",1,"target_only","misspecified",1.76812097282426,0.619228327092688,0.467170532493646,3.06907141315488,TRUE,""
"main_1to1_K05_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n020_chi2",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K05_n020_chi2",1,"target_only","correct",1.56584214557888,0.403107268979053,0.711292909915582,2.42039138124219,TRUE,""
"main_1to1_K05_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n020_chi2",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n020_chi2",1,"target_only","misspecified",1.99149968510955,0.605573369865609,0.719237245375852,3.26376212484325,TRUE,""
"main_3to1_K05_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n020_chi2",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n020_chi2",1,"target_only","correct",1.91204858558237,0.545382319169535,0.755889717073298,3.06820745409145,TRUE,""
"main_3to1_K05_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
